Agent,Group
"Fusarium moniliforme, toxins derived from (fumonisin B1, fumonisin B2, and fusarin C)",2B
Fumonisin B1,2B
"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",2B
Quercetin,3
2-Aminoanthraquinone,3
Bis(2-ethylhexyl) phthalate (see Di(2-ethylhexyl) phthalate),
Di(2-ethylhexyl)phthalate,2B
Hexachlorobenzene,2B
Anthranilic acid,3
"2,4,6-Trinitrotoluene",3
Nodularins,3
4-Amino-2-nitrophenol,3
Benzophenone,2B
"3,3'-Dimethoxybenzidine (ortho-Dianisidine)",2B
"3,3'-Dimethylbenzidine (ortho-Tolidine)",2B
Anthracene,2B
Isosafrole,3
para-Cresidine,2B
Catechol,2B
Vitamin K substances,3
Tungsten carbide with cobalt metal (see Cobalt metal with tungsten carbide),
"2,4-Dinitrotoluene",2B
2-Amino-5-nitrothiazole,3
"N,N-Dimethylaniline",3
3-Chloronitrobenzene,3
Malathion,2A
2-Amino-5-nitrophenol,3
Zineb,3
Attapulgite (see Palygorskite),
"Palygorskite (Attapulgite) (long fibres, > 5 micrometres)",2B
"Palygorskite (Attapulgite)(short fibres, < 5 micrometres)",3
Aurothioglucose,3
Simazine,3
Diphenylamine,2B
Propham,3
Phenyl glycidyl ether,2B
"1,2-Diphenylhydrazine",2B
Rosiglitazone,3
Hydroquinone,3
Maleic hydrazide,3
β-Myrcene,2B
"1,4-Dioxane",2B
Chlorodibromomethane,3
Methylarsonic acid,2B
Monomethylarsonic acid (see Methylarsonic acid),
Maneb,3
Primidone,2B
Griseofulvin,2B
"Tris(2,3-dibromopropyl) phosphate",2A
Nitrogen mustard N-oxide,2B
Chloroprene,2B
Cyclochlorotine,3
Hydroxyurea,3
Tetrachloroethylene (Perchloroethylene),2A
"N,N-Dimethylacetamide",2B
Sulfafurazole (Sulfisoxazole),3
Butylated hydroxytoluene (BHT),3
Vat Yellow 4,3
Pyrene,3
2-Methyl-1-nitroanthraquinone (uncertain purity),2B
Blue VRS,3
Oxyphenbutazone,3
1-Hydroxyanthraquinone,2B
Leucomalachite green (see also Malachite green),2B
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),2A
Gallium arsenide (see Arsenic and inorganic arsenic compounds),
Medphalan,3
Cobalt(II) oxide,2B
"Cobalt(II,III) oxide",3
Ferric oxide,3
"Antimony trioxide, see Trivalent antimony",
Yellow OB,3
Molybdenum trioxide,2B
Vanadium pentoxide,2B
Cobalt(II) sulfide,3
Haematite,3
"Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)",3
Sodium ortho-phenylphenate,2B
Dibenzothiophene,3
Radium-224 and its decay products,1
N-Nitrososarcosine,2B
Rifampicin,3
Captan,3
Xylenes,3
"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)",1
Carbon black,2B
Polychlorinated biphenyls,1
Iron sorbitol-citric acid complex,3
ortho-Anisidine hydrochloride (see also ortho-Anisidine),2A
1-Naphthylamine,3
"Antimony trisulfide, see Trivalent antimony",
Titanium dioxide,2B
"1,2-Bis(chloromethoxy)ethane",3
Cupferron,2B
N-Phenyl-2-naphthylamine,3
Phenazopyridine hydrochloride,2B
"2,4,5-Trimethylaniline",3
Thiram,3
Ziram,3
Voriconazole,1
Shikimic acid,3
Cyclamates (sodium cyclamate),3
Nitrilotriacetic acid and its salts,2B
"4,4'-Thiodianiline",2B
Nithiazide,3
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU) (Semustine),1
Radium-226 and its decay products,1
Wollastonite,3
Benzyl acetate,3
para-Dimethylaminoazobenzenediazo sodium sulfonate,3
Aramite®,2B
Ethyl acrylate,2B
Tannic acid and tannins,3
Aflatoxins,1
"3,3′,4,4′-Tetrachloroazobenzene",2A
n-Butyl acrylate,3
"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate",3
Thiouracil,2B
Aniline hydrochloride (see also Aniline),2A
"2,4-Hexadienal",2B
Chlordecone (Kepone),2B
Vinblastine sulfate,3
Methyl selenac,3
Ferbam,3
"Phosphorus-32, as phosphate",1
"1,2:3,4-Diepoxybutane (see 1,3-Butadiene)",
Sodium diethyldithiocarbamate,3
8-Hydroxyquinoline,3
Melphalan,1
Talc,2A
Talc containing asbestos (see Asbestos),
Talc-based body powder (perineal use of) (see Talc),
"Silica dust, crystalline, in the form of quartz or cristobalite",1
Patulin,3
2-Mercaptobenzothiazole,2A
Cycasin,2B
para-Aminobenzoic acid,3
Monuron,3
Dulcin,3
Eosin,3
Aziridine,2B
Radium-228 and its decay products,1
Bischloroethyl nitrosourea (BCNU) (Carmustine),2A
Sepiolite,3
Isatidine,3
para-Nitrosodiphenylamine,3
Phenelzine sulfate,3
"Trimethylolpropane triacrylate, technical grade",2B
Cisplatin,2A
"2,2',5,5'-Tetrachlorobenzidine",3
Trifluralin,3
Chromium (III) compounds,3
"CI Direct Brown 95 (see Benzidine, dyes metabolized to)",
"1,2-Diethylhydrazine",2B
Methyl tert-butyl ether,2B
N'-Nitrosonornicotine (NNN) and 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone (NNK),1
Gyromitrin,3
Bisphenol A diglycidyl ether (Araldite),3
4-Hydroxyazobenzene,3
Benzyl violet 4B,2B
"Fluorides (inorganic, used in drinking-water)",3
6-Methylchrysene,3
3-Methylfluoranthene,3
3-Nitrobenzanthrone,2B
"2,3,7,8-Tetrachlorodibenzo-para-dioxin",1
Perfluorooctanesulfonic acid (PFOS),2B
Nitrofen (technical-grade),2B
Chromium (VI) compounds,1
Streptozotocin,2B
"Dibenzo[a,i]pyrene",2B
"Dibenzo[a,h]pyrene",2B
Chlorothalonil,2B
Coronene,3
Benzo[ghi]perylene,3
Anthanthrene,3
"Dibenzo[a,l]pyrene",2A
Atrazine,3
Picloram,3
"Dibenzo[h,rst]pentaphene",3
"Dibenzo[e,l]pyrene",3
"Dibenzo[a,e]pyrene",3
Benzo[e]pyrene,3
"Naphtho[2,3-e]pyrene",3
"Indeno[1,2,3-cd]pyrene",2B
CI Orange G,3
Orange G (see CI Orange G),
"CI Direct Black 38 (see Benzidine, dyes metabolized to)",
"7H-Dibenzo[c,g]carbazole",2B
Benzo[c]phenanthrene,2B
Triethylene glycol diglycidyl ether,3
Benzo[g]chrysene,3
Perylene,3
3-Carbethoxypsoralen,3
Benz[j]aceanthrylene,2B
11H-Benz[bc]aceanthrylene,3
4H-Cyclopenta[def]chrysene,3
7-Nitrobenz[a]anthracene,3
Benzo[ghi]fluoranthene,3
"Naphtho[2,1-a]fluoranthene",3
Benzo[a]fluoranthene,3
Benzo[c]fluorene,3
Benzo[j]fluoranthene,2B
Benzo[b]fluoranthene,2B
3-Nitroperylene,3
Fluoranthene,3
Vincristine sulfate,3
Benzo[k]fluoranthene,2B
"13H-Dibenzo[a,g]fluorene",3
Digoxin,2B
Daunomycin (Daunorubicin),2B
Ethyl tellurac,3
Benz[l]aceanthrylene,3
T2-Trichothecene,3
Picene,3
Benzo[b]chrysene,3
"Dibenz[a,c]anthracene",3
Fluometuron,3
Bis(1-aziridinyl)morpholinophosphine sulfide,3
Triphenylene,3
Chrysene,2B
Luteoskyrin,3
Tetrachlorvinphos,2B
"1,4-Dimethylphenanthrene",3
Indium phosphide,2A
"Dibenz[a,j]anthracene",3
"Dibenz[a,j]acridine",2A
"Dibenz[c,h]acridine",2B
"1,5-Naphthalenediamine",3
Benz[a]acridine,3
Benz[c]acridine,3
"3,9-Dinitrofluoranthene",2B
Symphytine,3
"Dibenz[a,h]acridine",2B
Aspartame,2B
Oestradiol mustard,3
"4,4'-Dimethylangelicin plus ultraviolet A radiation",3
Diallate,3
Senkirkine,3
Adriamycin (Doxorubicin),2A
Riddelliine,2B
Hycanthone mesylate,3
Fast Green FCF,3
Rugulosin,3
Potassium bis(2-hydroxyethyl)dithiocarbamate,3
Benzo[a]fluorene,3
Mirex,2B
"Bis(2,3-epoxycyclopentyl)ether",3
"Benzo[b]naphtho[2,1-d]thiophene",3
Captafol,2A
CI Pigment Red 3,3
1-Butyl glycidyl ether,2B
CI Direct Blue 15,2B
Benzo[b]fluorene,3
11-Aminoundecanoic acid,3
"cis-9,10-Epoxystearic acid",3
Disperse Blue 1,2B
para-Aramid fibrils,3
Vinyl toluene,3
Butylated hydroxyanisole (BHA),2B
Nylon 6,3
"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)",3
Gemfibrozil,3
"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole",2B
"CI Direct Blue 6 (see Benzidine, dyes metabolized to)",
"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",2B
Dibenzo-para-dioxin,3
Ripazepam,3
Oil Orange SS,2B
Toluene diisocyanates,2B
Hydroxysenkirkine,3
Benzofuran,2B
Cyclopenta[cd]pyrene,2A
Agaritine,3
Sunset Yellow FCF,3
HC Blue No. 1,2B
Disperse Yellow 3,3
Allyl isovalerate,3
CI Direct Blue 218,2B
"3,3'-Dichloro-4,4'-diaminodiphenyl ether",2B
HC Red No. 3,3
Prednimustine,3
N-Nitrosofolic acid,3
Prazepam,3
Diisopropyl sulfate,2B
Teniposide,2A
Methyl parathion,3
Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation,1
Treosulfan,1
Estazolam,3
Dichloroacetonitrile,3
Hydrazine,2A
Chloral hydrate,2A
Lasiocarpine,2B
Ochratoxin A,2B
N-Nitrosohydroxyproline,3
Chlorambucil,1
Zidovudine (AZT),2B
beta-Butyrolactone,2B
"Carbon nanotubes, multiwalled MWCNT-7",2B
"Carbon nanotubes, multiwalled, other than MWCNT-7",3
"Carbon nanotubes, single-walled",3
"Multiwalled carbon nanotubes MWCNT-7 (see Carbon nanotubes, multiwalled MWCNT-7)",
"Multiwalled carbon nanotubes other than MWCNT-7 (see Carbon nanotubes, multiwalled, other than MWCNT-7)",
"Single-walled carbon nanotubes (see Carbon nanotubes, single-walled)",
"Silicon carbide, fibrous",2B
"Aldrin (see Dieldrin, and aldrin metabolized to dieldrin)",
Sudan II,3
Aristolochic acid,1
"Aristolochic acid, plants containing",1
Evans blue,3
Zectran,3
Monocrotaline,2B
"1,5-Naphthalene diisocyanate",3
Azacitidine,2A
Dibromoacetonitrile,2B
"2,2-Bis(bromomethyl)propane-1,3-diol",2B
Caffeic acid,2B
HC Blue No. 2,3
Diazinon,2A
Diazomethane,3
Etoposide,1
Etoposide in combination with cisplatin and bleomycin,1
Perfluorooctanoic acid (PFOA),1
1-Methylchrysene,3
4-Methylchrysene,3
3-Methylchrysene,3
2-Methylchrysene,3
2-Methylfluoranthene,3
Ponceau 3R,2B
Carmoisine,3
2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,2B
Procarbazine hydrochloride,2A
AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide],2B
5-Methylchrysene,2B
Pentosan polysulfate sodium,2B
Ponceau MX,2B
N'-Nitrosoanabasine (NAB),3
Nafenopin,2B
Isophosphamide,3
5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene)­amino]-2-oxazolidinone,2B
"Brilliant Blue FCF, disodium salt",3
"1,2,3-Tris(chloromethoxy)propane",3
"4,5',8-Trimethylpsoralen",3
Triamterene,2B
"4,5'-Dimethylangelicin plus ultraviolet A radiation",3
Doxefazepam,3
Silicon carbide whiskers,2A
Crotonaldehyde,2B
Ethylene sulfide,3
"1,6-Dinitropyrene",2B
"1,8-Dinitropyrene",2B
Dacarbazine,2B
Diazepam,3
Metronidazole,2B
Azathioprine,1
Ponceau SX,3
N-Nitrosomethylvinylamine,2B
5-Aminoacenaphthene,3
Guinea Green B,3
Retrorsine,3
Seneciphylline,3
5-Methoxypsoralen,2A
"2,4'-Diphenyldiamine",3
Auramine,2B
Methyl red,3
"N,N-Bis(2-chloroethyl)-2-naphthylamine (see Chlornaphazine)",
Chlornaphazine,1
Acridine orange,3
Formaldehyde,1
Phenobarbital,2B
Mitomycin C,2B
Cyclophosphamide,1
"DDT (4,4'-dichlorodiphenyltrichloroethane)",2A
Benzo[a]pyrene,1
Phenylbutazone,3
Clomiphene citrate,3
6-Mercaptopurine,3
Reserpine,3
Actinomycin D,3
Kojic acid,3
Mustard gas (see Sulfur mustard),
Sulfur mustard,1
Tetranitromethane,2B
Indium tin oxide,2B
Pronetalol hydrochloride,3
Piperonyl butoxide,3
"2,4,6-Tris(1-aziridinyl)-s-triazine",3
5-Fluorouracil,3
Propylthiouracil,2B
Nitrogen mustard,2A
Ethyl carbamate (Urethane),2A
Chlorobenzilate,3
Amsacrine,2B
1-Chloro-2-methylpropene,2B
4-Chloro-meta-phenylenediamine,3
Light Green SF,3
Cimetidine,3
D & C Red No. 9,3
Fenvalerate,3
Citrinin,3
Spironolactone,3
Thiotepa,1
Apholate,3
Trichlorfon,3
Kaempferol,3
CI Acid Orange 20,3
Orange I (see CI Acid Orange 20),
Angelicin plus ultraviolet A radiation,3
Permethrin,3
Deltamethrin,3
Prednisone,3
"Dibenz[a,h]anthracene",2A
"1,4-Diamino-2-nitrobenzene",3
Merphalan,2B
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,2B
Chrysoidine,3
Ethionamide,3
"Dibenzo[a,e]fluoranthene",3
"Carrageenan, degraded (Poligeenan)",2B
"Poligeenan (see Carrageenan, degraded)",
Chloroquine,3
Furosemide (Frusemide),3
Isonicotinic acid hydrazide (Isoniazid),3
"1,2-Dimethylhydrazine",2A
meta-Dichlorobenzene,3
Isobutyl nitrite,2B
"1,3-Dichloropropene (technical-grade)",2B
Malonaldehyde,3
Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade),1
Glycidyl oleate,3
Trichloroacetonitrile,3
Tris(1-aziridinyl)phosphine oxide,3
Ethyl selenac,3
Chlorozotocin,2A
Gentian violet (see also Leucogentian violet),2B
N-Nitrosodiethylamine,2A
"1,4-Butanediol dimethanesulfonate (see Busulfan)",
Busulfan,1
Myleran (see Busulfan),
Mannomustine dihydrochloride,3
1-Nitropyrene,2A
1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone,2B
N-Nitrosoguvacine,3
N-Nitrosoguvacoline,3
Glycidol,2A
Bromochloroacetic acid,2B
Methylthiouracil,2B
Carbon tetrachloride,2B
Cantharidin,3
Parathion,2B
Diethylstilbestrol,1
Benz[a]anthracene,2B
Chloramphenicol,2A
Doxylamine succinate,3
Semicarbazide hydrochloride,3
"3-Chloro-2-methylpropene, technical grade",2B
"1,4-Bis(chloromethoxymethyl)benzene",3
CI Basic Red 9,2B
Malachite green (see also Leucomalachite green),3
Allyl isothiocyanate,3
"1,1-Dimethylhydrazine",2B
Tris(2-methyl-1-aziridinyl)phosphine oxide,3
Phenytoin,2B
beta-Propiolactone,2B
Sulfamethazine,3
Chlordane,2B
Cholesterol,3
1-tert-Butoxypropan-2-ol,2B
"2,3,4,7,8-Pentachlorodibenzofuran",1
"3,3’,4,4’,5-Pentachlorobiphenyl (PCB-126)",1
