Agent,Synonyms
Vinyl chloride-vinyl acetate copolymers,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyvinyl pyrrolidone,"['PVP', 'Povidone', 'Crospovidone', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polystyrene,"['PS', 'Styrene homopolymer', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Styrene-acrylonitrile copolymers,"['SAN', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Styrene-butadiene copolymers,"['SBR', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Iron-dextrin complex,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Iron-dextran complex,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ginkgo biloba extract,"['GBE', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyurethane foams,"['PUR', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polychloroprene,"['Neoprene', 'Chloroprene rubber', 'Baypren', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Vinylidene chloride-vinyl chloride copolymers,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polymethyl methacrylate,"['PMMA', 'Acrylic glass', 'Plexiglas', 'Lucite', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polymethylene polyphenyl isocyanate,"['Polymeric MDI', 'PMDI', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"4,4',6-Trimethylangelicin plus ultraviolet A radiation","['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Naphthalene,"['Naphthalin', 'Tar camphor', 'Albocarbon', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Quinoline,"['1-Benzazine', 'Benzo[b]pyridine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Nitroanisole,"['2-Nitroanisole', 'o-Nitroanisole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
2-Naphthylamine,"['beta-Naphthylamine', '2-Aminonaphthalene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Coumarin,"['1', '2-Benzopyrone', '5', '6-Benzo-alpha-pyrone', 'Tonka bean camphor', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"3,3'-Dimethoxybenzidine-4,4'-diisocyanate","['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"3,3'-Dichlorobenzidine","['DCB', '3', ""3'-Dichloro-4"", ""4'-diaminobiphenyl"", '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Amaranth,"['C.I. Food Red 9', 'Red No. 2', 'C.I. 16185', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
4-Aminobiphenyl,"['4-Biphenylamine', 'para-Aminobiphenyl', 'p-Aminobiphenyl', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Benzidine,"['4', ""4'-Diaminobiphenyl"", '1', ""1'-Biphenyl-4"", ""4'-diamine"", '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
4-Nitrobiphenyl,"['para-Nitrobiphenyl', 'p-Nitrobiphenyl', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Nitrosodi-n-butylamine,"['NDPA', 'Di-n-butylnitrosamine', 'Nitrosodibutylamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Methylolacrylamide,"['NMA', 'N-(Hydroxymethyl)acrylamide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methyleugenol,"['4-Allyl-1', '2-dimethoxybenzene', '1', '2-Dimethoxy-4-(2-propenyl)benzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Nitrosopyrrolidine,"['NPYR', 'Nitrosopyrrolidine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Benzoyl peroxide,"['Dibenzoyl peroxide', 'BPO', 'Peroxide', 'benzoyl', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Dihydrosafrole,"['5-(1-Propenyl)-1', '3-benzodioxole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Safrole,"['4-Allyl-1', '2-methylenedioxybenzene', '1-Allyl-3', '4-methylenedioxybenzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)","['2', '4-Dichlorophenoxyacetic acid', 'Dichlorprop', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Sulfallate,"['Vegadex', '2-Chloroallyl diethyldithiocarbamate', 'CDEC', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Dichlorobenzene,"['1', '2-Dichlorobenzene', 'o-Dichlorobenzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Toluidine,"['2-Aminotoluene', '2-Methylaniline', 'o-Toluidine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Phenylenediamine,"['1', '2-Diaminobenzene', '1', '2-Phenylenediamine', 'o-Phenylenediamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4-Xylidine","['2', '4-Dimethylaniline', '2', '4-Dimethylphenylamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
4-Chloro-ortho-toluidine,"['4-Chloro-2-methylaniline', '3-Chloro-6-methylaniline', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,5-Diaminotoluene","['2', '5-Toluenediamine', '2', '5-Diamino-1-methylbenzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,5-Xylidine","['2', '5-Dimethylaniline', '2', '5-Dimethylphenylamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
5-Chloro-ortho-toluidine,"['5-Chloro-2-methylaniline', '4-Chloro-3-methylaniline', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4-Diaminotoluene","['2', '4-Toluenediamine', '4-Methyl-m-phenylenediamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
4-Chloro-ortho-phenylenediamine,"['4-Chloro-1', '2-diaminobenzene', '3-Chloro-1', '2-diaminobenzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
2-Amino-4-chlorophenol,"['4-Chloro-2-aminophenol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Styrene-7,8-oxide","['Styrene oxide', 'Phenyloxirane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,2-Dibromo-3-chloropropane","['DBCP', 'Fumazone', 'Nemagon', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,3-Dibromopropan-1-ol","['2', '3-Dibromo-1-propanol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,2,3-Trichloropropane","['TCP', 'Allyl trichloride', 'Glycerol trichlorohydrin', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,3-Dichloro-2-propanol","['Glycerol-alpha', 'gamma-dichlorohydrin', 'Dichloroisopropyl alcohol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
